Date,Name,mean_pixel_val
2021-06-29,Franks Tract,0
2021-06-29,Mildred Island,41.449039459228516
2021-06-30,Franks Tract,NA
2021-06-30,Mildred Island,NA
2021-07-01,Franks Tract,NA
2021-07-01,Mildred Island,NA
2021-07-02,Franks Tract,0
2021-07-02,Mildred Island,5.75
2021-07-03,Franks Tract,0
2021-07-03,Mildred Island,0
2021-07-04,Franks Tract,NA
2021-07-04,Mildred Island,NA
2021-07-05,Franks Tract,NA
2021-07-05,Mildred Island,NA
2021-07-06,Franks Tract,3.421875
2021-07-06,Mildred Island,44
2021-07-07,Franks Tract,6.4654693603515625
2021-07-07,Mildred Island,40.842105865478516
2021-07-08,Franks Tract,NA
2021-07-08,Mildred Island,NA
2021-07-09,Franks Tract,0
2021-07-09,Mildred Island,NA
2021-07-10,Franks Tract,10.4109525680542
2021-07-10,Mildred Island,0
2021-07-11,Franks Tract,39.16393280029297
2021-07-11,Mildred Island,0
2021-07-12,Franks Tract,NA
2021-07-12,Mildred Island,NA
2021-07-13,Franks Tract,26.08333969116211
2021-07-13,Mildred Island,0
2021-07-14,Franks Tract,64.20391082763672
2021-07-14,Mildred Island,0
2021-07-15,Franks Tract,60.47190856933594
2021-07-15,Mildred Island,0
2021-07-16,Franks Tract,NA
2021-07-16,Mildred Island,NA
2021-07-17,Franks Tract,51.103111267089844
2021-07-17,Mildred Island,0
2021-07-18,Franks Tract,68.393096923828125
2021-07-18,Mildred Island,0
2021-07-19,Franks Tract,NA
2021-07-19,Mildred Island,NA
2021-07-20,Franks Tract,NA
2021-07-20,Mildred Island,NA
2021-07-21,Franks Tract,82.30516052246094
2021-07-21,Mildred Island,0
2021-07-22,Franks Tract,NA
2021-07-22,Mildred Island,NA
2021-07-23,Franks Tract,NA
2021-07-23,Mildred Island,NA
2021-07-24,Franks Tract,NA
2021-07-24,Mildred Island,NA
2021-07-25,Franks Tract,105.2069091796875
2021-07-25,Mildred Island,0
2021-07-26,Franks Tract,NA
2021-07-26,Mildred Island,NA
2021-07-27,Franks Tract,NA
2021-07-27,Mildred Island,NA
2021-07-28,Franks Tract,NA
2021-07-28,Mildred Island,NA
2021-07-29,Franks Tract,143.27752685546875
2021-07-29,Mildred Island,0
2021-07-30,Franks Tract,151.22059631347656
2021-07-30,Mildred Island,NA
2021-07-31,Franks Tract,NA
2021-07-31,Mildred Island,NA
2021-08-01,Franks Tract,NA
2021-08-01,Mildred Island,NA
2021-08-02,Franks Tract,80.42346954345703
2021-08-02,Mildred Island,5.117660999298096
2021-08-03,Franks Tract,74.26420593261719
2021-08-03,Mildred Island,0
2021-08-04,Franks Tract,NA
2021-08-04,Mildred Island,NA
2021-08-05,Franks Tract,0
2021-08-05,Mildred Island,NA
2021-08-06,Franks Tract,61.430233001708984
2021-08-06,Mildred Island,0
2021-08-07,Franks Tract,NA
2021-08-07,Mildred Island,NA
2021-08-08,Franks Tract,NA
2021-08-08,Mildred Island,NA
2021-08-09,Franks Tract,92.263031005859375
2021-08-09,Mildred Island,0
2021-08-10,Franks Tract,85.63404846191406
2021-08-10,Mildred Island,0
2021-08-11,Franks Tract,90.92327117919922
2021-08-11,Mildred Island,0
2021-08-12,Franks Tract,NA
2021-08-12,Mildred Island,NA
2021-08-13,Franks Tract,82.45359802246094
2021-08-13,Mildred Island,0
2021-08-14,Franks Tract,95.15312957763672
2021-08-14,Mildred Island,0
2021-08-15,Franks Tract,NA
2021-08-15,Mildred Island,NA
2021-08-16,Franks Tract,NA
2021-08-16,Mildred Island,NA
2021-08-17,Franks Tract,NA
2021-08-17,Mildred Island,NA
2021-08-18,Franks Tract,NA
